segment_id,direction,max_spots,sign_id
8240735,1,7,974
8239413,1,6,231
8236960,1,1,216
8236430,1,4,216
8241220,1,0,980
8235099,0,4,236
8241119,1,0,980
8234276,0,0,980
8235287,1,0,980
8241607,1,0,980
8235001,0,0,980
8236573,0,0,980
8239403,0,0,980
8240088,0,0,980
8239414,1,0,980
8237293,0,0,980
8241999,1,0,980
8241999,0,0,980
8241784,1,0,980
8242256,0,0,980
8236101,1,0,980
8236426,0,0,980
8241133,0,0,980
8238971,0,0,980
8241422,0,0,985
8241000,1,0,985
8242609,1,9,1061
8236397,0,0,980
8242704,0,0,980
8238107,0,0,980
8242705,0,0,980
8238553,0,0,980
8239212,0,0,1002
8238602,1,1,730
8242795,1,1,976
8237962,0,7,976
8234125,0,5,976
8237368,0,0,980
8235002,1,13,236
8234213,0,1,652
8240312,0,8,202
8238783,1,14,286
8238784,1,8,286
8237520,0,7,1062
8242618,0,5,647
8236883,1,6,731
8235116,0,3,632
8238735,1,2,647
8239045,1,3,652
8234335,0,0,980
8236798,0,15,653
8350096,0,7,653
8235520,1,12,632
8240567,1,11,1050
8243057,0,7,631
8234881,1,2,1056
8236187,1,0,980
8238240,0,20,632
8241721,0,24,732
8234233,1,8,787
8241412,0,19,733
8239464,0,0,980
8239363,0,21,787
8239235,0,8,976
8234126,0,7,1041
8234918,1,2,1063
8241368,0,3,652
8241369,1,5,686
8241371,1,3,686
8241373,1,13,686
8241375,1,3,686
8242318,0,4,647
8242317,0,4,647
8236308,1,33,1038
8238655,1,2,669
8242591,0,0,980
8235274,1,4,787
8234127,0,2,976
8242765,0,2,976
8242889,1,8,1035
8240127,0,3,202
8237947,0,4,731
8236864,0,0,980
8235445,0,3,669
8235521,1,8,632
8235792,1,11,631
8235599,1,4,634
8239711,0,4,632
8238350,0,11,733
8234887,0,15,731
8238910,0,15,732
8237187,1,3,731
8241410,0,24,733
8241412,1,19,733
8241952,1,0,980
8241957,1,0,980
8238475,1,14,652
8237982,1,1,1038
8237982,0,3,1038
8240876,1,8,1035
8236921,1,8,653
8237647,0,1,1136
8240555,1,4,678
8238394,0,4,216
8239272,0,2,631
8237324,0,0,980
8242609,0,8,816
8240637,1,26,202
8235144,0,9,630
8238981,1,3,231
8237587,0,7,231
8242272,1,7,630
8242070,0,4,669
8234679,1,7,731
8234037,1,0,980
8235771,0,6,1062
8239516,0,0,980
8234400,1,7,686
8241370,1,9,686
8242316,0,1,647
8237386,1,0,980
8236721,1,0,980
8234893,0,3,652
8239229,1,0,980
8239229,0,0,980
8241607,0,0,980
8235000,0,0,980
8238919,1,14,231
8238920,0,0,980
8237923,0,0,980
8240371,0,0,980
8241890,1,0,980
8237048,0,0,980
8240682,0,0,980
8237048,1,0,980
8352024,0,0,980
8236116,0,0,980
8239405,1,0,980
8239406,1,0,980
8241102,0,11,669
8236430,0,0,980
8239770,0,0,980
8237113,0,0,980
8238553,1,0,1002
8235327,0,0,1002
8235327,1,0,980
8234143,0,0,1002
8234143,1,0,1002
8238107,1,0,980
8236599,1,2,1062
8239200,1,3,1043
8236600,0,0,1002
8241848,1,14,286
8239253,0,0,980
8234479,0,0,980
8234479,1,0,980
8236928,0,0,980
8241837,1,0,980
8237878,1,4,647
8235559,1,0,980
8242111,1,4,1138
8242848,0,4,800
8241615,1,0,980
8234388,0,0,980
8238910,1,17,732
8240418,0,1,1701
8236445,1,8,271
8234512,1,33,271
8237560,0,9,271
8239992,1,7,271
8234511,1,42,271
8239992,0,10,271
8235871,0,0,669
8240573,0,4,793
8240573,0,4,286
8240573,0,4,231
8239899,1,10,231
8237594,0,2,632
8242876,0,0,652
8240573,1,8,793
8240573,1,8,231
8240573,1,8,286
8237594,1,0,632
8237560,1,0,271
8235871,1,0,669
8239899,0,9,231
8242876,1,0,652
8240805,1,0,980
8240806,1,0,980
8240807,0,0,980
8237596,1,0,980
8242341,1,28,271
8242341,0,32,271
8240142,1,0,980
8241933,1,0,980
8234107,1,0,980
8238167,1,0,980
8239283,1,0,980
8239284,1,0,980
8242380,0,0,980
8343768,0,0,980
8243068,1,0,980
8242114,0,0,980
8235395,1,0,980
8235395,0,0,980
8239654,1,0,980
8241187,1,0,980
8241289,1,12,1135
8236490,0,5,632
8239973,1,6,647
8240789,0,0,980
8240789,1,4,647
8238224,0,0,980
8344091,0,3,1055
8239814,1,0,980
8238819,0,0,980
8237832,1,0,980
8238078,0,3,1062
8242536,1,0,980
8240197,0,4,647
8240196,0,11,647
8242695,1,0,980
8238975,1,0,980
8241690,0,2,1136
8236738,1,12,1136
8240054,0,8,631
8239347,1,16,669
8237596,0,0,980
8240143,0,0,980
8241933,0,0,980
8237425,1,0,980
8238167,0,0,980
8242380,1,0,980
8242195,0,0,980
8242114,1,0,980
8241292,0,0,980
8241292,1,0,980
8239209,1,0,980
8239991,1,9,345
8242300,0,3,652
8242536,0,12,647
8242695,0,0,980
8235919,1,0,980
8240530,1,0,980
8238975,0,0,980
8235751,1,20,731
8240556,0,0,980
8235668,1,0,980
8234848,0,1,1423
8240807,1,0,980
8240806,0,0,980
8240805,0,0,980
8240992,1,10,1133
8240054,1,8,631
8235741,0,5,1134
8239284,0,0,980
8239283,0,0,980
8343768,1,0,980
8238780,1,0,980
8239654,0,0,980
8238761,1,0,980
8241187,0,0,980
8239100,0,0,980
8237551,0,0,980
8242012,1,8,652
8239114,1,2,345
8239113,1,8,345
8239814,0,0,980
8236065,0,5,1138
8241139,0,0,980
8239100,1,0,980
8241822,0,0,980
8241822,1,0,980
8239974,1,0,980
8234106,1,4,647
8242011,1,8,652
8234066,0,0,980
8237734,1,0,980
8236162,1,10,1136
8234188,1,0,980
8237832,0,0,980
8242537,1,27,795
8240196,1,26,795
8240197,1,9,795
8241523,1,14,345
8237780,0,0,980
8240556,1,0,980
8241675,1,15,1060
8237623,1,0,980
8237623,0,0,980
8235436,1,0,980
8234770,0,0,980
8240371,1,0,980
8235559,0,0,980
8238948,0,0,980
8241040,1,6,634
8235288,0,2,634
8235288,1,0,980
8346346,0,0,980
8239984,0,19,730
8241952,0,0,980
8234893,1,0,980
8235436,0,0,980
8237034,1,0,980
8236330,0,0,980
8241837,0,0,980
8239931,0,0,980
8239979,0,12,730
8234388,1,0,980
8238470,0,7,1140
8239024,1,2,1029
8238708,0,4,236
8238989,0,8,653
8235257,1,3,216
8241221,1,8,216
8241219,1,2,216
8235440,0,7,681
8240515,0,10,231
8235100,0,6,236
8242118,1,23,216
8238726,0,7,231
8238726,1,6,231
8242104,0,11,345
8242103,0,14,653
8238166,0,10,686
8236173,1,11,653
8241861,1,8,675
8234297,0,1,202
8236853,0,4,202
8236852,0,6,202
8238759,1,5,286
8240935,1,6,286
8239256,1,6,675
8242463,1,2,345
8238482,0,11,798
8234890,1,13,202
8239023,1,13,675
8239025,1,7,675
8234889,1,9,202
8234738,1,13,798
8238482,1,12,798
8241726,1,16,675
8241727,1,4,675
8241727,0,4,675
8241726,0,5,675
8241771,0,9,675
8239132,0,13,675
8239257,1,5,675
8241771,1,9,675
8235079,1,10,798
8235081,1,8,798
8235081,0,6,798
8235080,0,7,798
8235080,1,7,798
8235079,0,10,798
8240156,0,6,686
8240157,1,6,202
8240157,0,5,202
8238955,0,12,669
8238955,1,4,669
8238957,1,10,669
8238957,0,9,669
8236449,1,13,686
8238693,0,10,652
8238693,1,11,652
8242036,1,5,686
8242037,1,7,202
8242038,1,2,686
8236975,1,5,686
8238593,1,6,686
8236447,1,7,686
8236610,1,3,647
8236610,0,2,647
8238130,1,7,647
8238131,1,8,647
8238132,1,6,216
8241405,1,15,216
8242754,1,4,669
8236448,1,3,686
8242754,0,3,669
8238387,1,8,653
8238387,0,5,653
8236379,0,8,653
8236380,1,23,653
8238520,1,24,698
8235579,0,21,808
8235545,1,5,675
8235546,1,10,675
8235547,1,14,675
8242940,1,11,798
8242941,1,17,798
8242942,1,11,798
8242942,0,10,798
8242940,0,7,798
8235547,0,15,675
8235546,0,13,675
8234589,1,6,202
8234590,1,3,202
8234591,1,9,202
8241100,0,14,669
8241100,1,7,669
8242750,0,5,669
8236795,0,11,669
8242751,1,8,669
8235915,1,15,652
8235915,0,17,652
8235916,1,8,236
8235916,0,7,236
8236433,0,8,216
8236432,0,3,216
8236432,1,6,216
8236433,1,3,216
8236434,1,5,216
8236435,1,6,647
8236435,0,6,216
8236434,0,6,216
8236773,1,5,236
8242390,1,6,286
8237894,1,10,286
8237894,0,0,286
8239080,1,12,653
8242755,0,1,669
8238959,1,14,669
8238958,0,11,669
8242756,1,4,669
8236439,1,6,647
8236440,1,5,647
8236537,1,6,652
8236439,0,5,647
8236438,1,6,798
8238959,0,18,669
8238958,1,17,669
8236437,1,5,647
8238692,1,14,652
8238692,0,19,652
8235034,1,10,652
8240862,1,7,653
8240863,1,7,653
8240863,0,3,650
8234028,0,6,677
8234029,1,7,647
8242540,1,11,652
8238878,1,1,652
8241477,0,17,652
8236440,0,8,647
8240864,1,8,653
8242753,1,9,669
8242056,1,19,686
8238991,0,9,669
8234031,1,10,647
8236827,0,4,675
8238993,1,9,669
8238996,1,8,669
8240862,0,7,650
8235033,0,19,632
8240847,1,6,669
8239258,1,7,652
8241440,1,6,686
8242753,0,6,669
8239405,0,7,231
8242750,1,8,647
8240864,0,10,653
8240261,1,4,686
8240925,1,15,798
8240926,1,11,798
8240928,1,23,798
8240926,0,7,798
8240925,0,17,798
8241915,0,22,653
8241913,0,8,653
8236823,0,7,653
8236822,0,7,653
8236821,1,12,653
8236822,1,7,653
8241915,1,14,653
8241869,0,11,798
8241869,1,11,798
8241870,1,14,647
8241871,1,14,798
8241871,0,10,647
8241870,0,6,647
8234147,0,9,798
8237307,1,17,675
8237308,1,23,675
8240909,1,21,652
8236028,1,23,652
8241913,1,8,653
8236113,1,15,675
8235819,1,12,675
8239011,1,8,653
8242035,1,9,686
8235072,0,11,798
8235072,1,12,798
8235615,1,9,686
8240982,0,7,202
8240904,0,8,653
8240905,0,13,653
8238304,0,4,652
8235866,0,5,652
8235543,1,4,652
8235544,1,8,652
8238304,1,6,652
8235596,0,7,669
8240928,0,24,798
8234147,1,5,798
8243000,1,5,669
8239624,1,3,652
8236538,1,3,652
8239626,1,9,652
8236539,0,13,652
8235367,0,8,647
8234570,1,1,650
8240046,0,13,653
8240860,0,9,650
8242032,1,7,675
8242032,0,3,675
8241092,1,26,669
8241094,1,13,669
8235638,1,7,669
8234949,0,10,686
8241948,1,13,202
8241949,1,7,202
8234247,0,7,686
8237101,1,6,202
8234248,0,4,686
8234248,1,5,686
8240256,1,12,686
8240256,0,10,686
8238475,0,10,675
8235894,0,16,675
8236881,0,21,798
8241331,0,13,675
8241331,1,12,675
8239132,1,8,675
8240554,1,28,798
8237647,1,4,675
8237910,1,5,675
8237883,0,8,675
8239774,1,8,236
8239776,1,7,236
8239777,1,16,236
8242487,1,16,675
8242487,0,13,675
8234894,1,45,652
8241755,0,6,231
8241754,0,10,231
8241494,1,43,653
8239680,1,15,653
8242031,0,32,790
8239680,0,20,653
8241759,0,5,231
8236712,0,21,798
8237180,1,12,652
8236712,1,8,798
8241760,0,8,231
8237735,1,12,669
8351517,0,10,231
8237735,0,13,669
8237179,1,11,652
8237178,1,5,652
8240524,1,8,686
8235657,1,3,653
8234532,1,8,675
8235658,1,6,653
8239548,0,6,202
8239548,1,8,202
8240531,0,9,669
8240523,1,12,686
8239261,1,12,652
8235811,0,7,686
8237745,0,4,653
8240396,1,16,647
8238174,1,10,653
8243069,1,3,686
8235941,1,6,669
8237036,1,14,653
8240531,1,11,669
8239261,0,18,652
8240522,1,9,686
8242445,1,9,686
8242445,0,16,686
8235809,0,1,686
8235810,0,9,686
8237037,0,15,653
8235812,0,8,686
8240396,0,13,647
8240395,0,2,647
8243069,0,3,686
8242559,1,11,652
8238274,1,10,652
8234078,1,20,669
8237597,0,5,669
8234646,1,31,675
8235944,1,8,669
8237036,0,15,653
8235813,1,7,686
8235813,0,15,686
8234843,0,17,653
8235814,1,5,286
8235814,0,11,202
8237035,1,8,653
8234746,0,11,675
8234746,1,8,675
8234079,1,12,675
8234973,0,5,202
8234972,0,24,202
8238951,1,6,669
8238953,0,5,669
8238952,0,3,669
8238954,0,10,669
8238954,1,3,669
8237131,1,6,686
8237130,1,4,686
8240770,0,12,675
8235891,1,13,652
8238639,1,13,686
8239397,1,7,798
8239397,0,5,647
8236573,1,8,286
8239915,1,11,231
8238760,1,5,216
8238762,1,2,216
8239915,0,3,231
8234752,1,5,202
8242302,1,4,675
8239485,0,14,798
8239486,1,13,798
8239487,1,5,798
8239488,1,8,798
8238836,1,22,798
8239489,1,7,798
8238547,0,5,652
8239490,1,5,798
8239491,1,4,798
8239492,1,2,798
8236647,1,18,798
8243022,1,15,798
8236645,1,13,798
8240976,0,6,798
8240975,0,13,798
8237586,1,8,231
8237156,1,9,202
8241201,0,8,202
8236003,1,7,798
8238488,0,9,798
8240770,1,19,790
8237050,0,24,675
8237049,1,3,675
8237049,0,4,675
8237050,1,12,675
8242328,1,7,675
8242328,0,8,675
8237588,1,2,231
8236282,0,6,798
8237671,0,5,202
8235728,1,12,202
8235083,0,12,647
8236791,1,41,921
8236791,0,13,669
8242752,0,6,669
8242755,1,6,669
8242338,1,8,652
8242338,0,11,633
8235073,1,6,647
8237845,1,7,653
8236336,0,12,921
8242550,0,13,669
8242549,0,7,669
8242548,0,0,669
8242548,1,3,669
8242549,1,6,669
8242550,1,20,669
8240187,0,5,216
8240187,1,5,216
8241053,1,8,798
8241684,1,4,202
8236077,0,8,798
8237617,0,26,798
8235298,1,3,202
8235299,1,5,202
8235297,1,5,202
8235296,1,6,202
8235295,1,5,202
8237450,0,9,202
8243073,0,6,202
8237886,0,9,675
8237885,0,20,675
8241539,0,6,202
8241537,1,10,202
8241538,1,8,202
8242288,0,9,669
8239139,1,10,202
8239140,1,8,202
8239486,0,11,798
8236358,1,7,202
8238399,0,16,647
8238398,0,10,647
8237269,1,11,345
8237000,1,5,678
8234245,1,7,652
8234245,0,8,652
8234188,0,11,798
8237000,0,4,798
8243041,1,14,202
8243041,0,11,202
8239746,1,15,653
8239746,0,12,653
8234809,0,12,652
8234810,1,11,675
8234810,0,11,675
8239745,1,4,653
8239745,0,4,653
8237693,0,30,202
8237693,1,31,202
